GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.capg.pharma.orderservice.exception,GlobalExceptionHandler,141,0,2,0,26,0,11,0,10,0
order-service,com.capg.pharma.orderservice.exception,InvalidOrderStatusException,0,4,0,0,0,1,0,1,0,1
order-service,com.capg.pharma.orderservice.exception,OrderNotFoundException,0,4,0,0,0,1,0,1,0,1
order-service,com.capg.pharma.orderservice.messaging,NotificationPublisher,27,4,0,0,9,1,2,1,2,1
order-service,com.capg.pharma.orderservice.messaging,RabbitMQConfig,25,0,0,0,6,0,4,0,4,0
order-service,com.capg.pharma.orderservice.service,OrderService,40,311,0,8,9,70,2,16,2,12
order-service,com.capg.pharma.orderservice.controller,OrderController,71,0,0,0,13,0,9,0,9,0
