GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.capg.pharma.authservice.exception,InvalidCredentialsException,0,4,0,0,0,1,0,1,0,1
auth-service,com.capg.pharma.authservice.exception,UserNotFoundException,0,4,0,0,0,1,0,1,0,1
auth-service,com.capg.pharma.authservice.exception,GlobalExceptionHandler,0,121,0,2,0,22,0,9,0,8
auth-service,com.capg.pharma.authservice.exception,UserAlreadyExistsException,0,4,0,0,0,1,0,1,0,1
auth-service,com.capg.pharma.authservice.service,AuthService,31,129,10,6,3,28,6,6,0,4
auth-service,com.capg.pharma.authservice.controller,AuthController,0,20,0,0,0,5,0,3,0,3
